CellID,Condition,ContourBin,ExpectedVoxelDistribution,ObservedMitoDistribution,Enrichment
783_5,No_Stimulation,0,0.02369399574269876,0.006269691029087145,0.2646109629279871
783_5,No_Stimulation,1,0.03265319316139856,0.01580896305328564,0.4841475372759082
783_5,No_Stimulation,2,0.03563860313463278,0.045468733508938576,1.275828161310652
783_5,No_Stimulation,3,0.0397782642356491,0.05471832424991635,1.3755835077609555
783_5,No_Stimulation,4,0.045205713919319004,0.06647399492945474,1.4704777154519526
783_5,No_Stimulation,5,0.05104024087613288,0.06275080448309855,1.2294378593428954
783_5,No_Stimulation,6,0.057777947349149046,0.056748338823804166,0.9821799047459576
783_5,No_Stimulation,7,0.0656061037215087,0.08640586368811431,1.3170400128454283
783_5,No_Stimulation,8,0.07353144568602483,0.10445143571882502,1.4205002328504028
783_5,No_Stimulation,9,0.08010201837623754,0.08486987920964167,1.0595223557415194
783_5,No_Stimulation,10,0.08667333294119954,0.10271783920218631,1.1851146796428331
783_5,No_Stimulation,11,0.0930710488148286,0.10778164768019187,1.1580577317295633
783_5,No_Stimulation,12,0.10045672989029263,0.10822402917472272,1.0773198499783205
783_5,No_Stimulation,13,0.10893158907981565,0.08277923366949835,0.7599194537485806
783_5,No_Stimulation,14,0.1058397730711124,0.014452625882236699,0.13655193565585372
784_5,No_Stimulation,0,0.02527015265116904,0.000408081780763201,0.016148765953114354
784_5,No_Stimulation,1,0.037379192338020006,0.002008114662172874,0.05372279432935561
784_5,No_Stimulation,2,0.03901085431002775,0.013804320382363821,0.3538584485399341
784_5,No_Stimulation,3,0.041953008534529095,0.048150714289908345,1.147729709307457
784_5,No_Stimulation,4,0.04619895209109012,0.08033926568766184,1.7389845884222117
784_5,No_Stimulation,5,0.05154702690538001,0.09790439730137573,1.8993219042698535
784_5,No_Stimulation,6,0.057866169490616556,0.10694384912130304,1.84812387034958
784_5,No_Stimulation,7,0.06498809375931011,0.10826204134837267,1.6658750101108049
784_5,No_Stimulation,8,0.07238826053367511,0.10522344679376898,1.453598221839008
784_5,No_Stimulation,9,0.07865192575617143,0.10795084229253886,1.3725136575447232
784_5,No_Stimulation,10,0.08549746151846248,0.09911983512321722,1.159330737577666
784_5,No_Stimulation,11,0.0914854513111982,0.08445531357708636,0.9231556752100613
784_5,No_Stimulation,12,0.09896705143806879,0.09797779330511013,0.9900041668556963
784_5,No_Stimulation,13,0.10851700167244996,0.04558772583950349,0.42009754358221635
784_5,No_Stimulation,14,0.10027939768983134,0.0016675572048453105,0.016629110697325283
783_6,No_Stimulation,0,0.033284207657099475,0.009000817479984546,0.2704230658789525
783_6,No_Stimulation,1,0.044834929141845344,0.021252345185725902,0.4740131320044991
783_6,No_Stimulation,2,0.04689762708109437,0.039892169480889535,0.850622344109412
783_6,No_Stimulation,3,0.049708033372244484,0.0661433087235573,1.3306362017631095
783_6,No_Stimulation,4,0.0531663810105539,0.07989959723636271,1.5028218155473492
783_6,No_Stimulation,5,0.056990057280772284,0.09712857487412302,1.7043073741021306
783_6,No_Stimulation,6,0.06113976002951652,0.10761921227372559,1.7602164650592367
783_6,No_Stimulation,7,0.06532586261877867,0.1184278771346793,1.8128788872760457
783_6,No_Stimulation,8,0.06938269135583601,0.13304646829436964,1.9175743358243
783_6,No_Stimulation,9,0.07379493248917951,0.11819522617301975,1.6016713097522057
783_6,No_Stimulation,10,0.07910423015727996,0.0832122054243959,1.0519311705448395
783_6,No_Stimulation,11,0.08439393721354022,0.06981663262278741,0.8272707131334783
783_6,No_Stimulation,12,0.0908951180316224,0.04717905372956567,0.5190493697709054
783_6,No_Stimulation,13,0.09875059059043564,0.008319939894944218,0.08425205201506951
783_6,No_Stimulation,14,0.09233164197020123,0.0008537649969157739,0.009246721694728606
783_12,No_Stimulation,0,0.016951602588688882,0.01519591198030076,0.8964292255435705
783_12,No_Stimulation,1,0.028114350077422443,0.03916933605298089,1.3932150643751242
783_12,No_Stimulation,2,0.03116084710214173,0.058049357328919846,1.862894071481453
783_12,No_Stimulation,3,0.03448912558702865,0.05961655818945559,1.7285610224887047
783_12,No_Stimulation,4,0.03951416404769238,0.06275452173066466,1.588152583841123
783_12,No_Stimulation,5,0.04578968001421628,0.0583224302061344,1.2737025065042404
783_12,No_Stimulation,6,0.053304398373454104,0.06678768939978581,1.2529489392576367
783_12,No_Stimulation,7,0.061513740797291196,0.09174773765057595,1.491499890291441
783_12,No_Stimulation,8,0.07081050524456588,0.10843130317500647,1.5312883702849682
783_12,No_Stimulation,9,0.07862945892177539,0.10509862679960963,1.3366316930168263
783_12,No_Stimulation,10,0.0880068837938655,0.11379421702882463,1.2930149565954365
783_12,No_Stimulation,11,0.09714714581593079,0.09230931795893459,0.9502010294140535
783_12,No_Stimulation,12,0.10892559157723992,0.07669667302253683,0.7041198667087399
783_12,No_Stimulation,13,0.12191028170822012,0.045009533805234925,0.369202114658062
783_12,No_Stimulation,14,0.12373222435046675,0.00700372566386391,0.056603893614860804
1060_4-6,Glu(5min),0,0.03866505854627932,0.01602420379302632,0.4144362997367892
1060_4-6,Glu(5min),1,0.05249540771787677,0.03824062311710522,0.7284565408581972
1060_4-6,Glu(5min),2,0.05370370018170933,0.060106014668252,1.1192155189471136
1060_4-6,Glu(5min),3,0.05541989389328328,0.07436330732374499,1.3418161259373613
1060_4-6,Glu(5min),4,0.05771105504021919,0.0838774442181552,1.4534034104852265
1060_4-6,Glu(5min),5,0.060297507610260564,0.09431838004963618,1.5642168936612304
1060_4-6,Glu(5min),6,0.06313440734661037,0.1028768224281062,1.629489002142816
1060_4-6,Glu(5min),7,0.06608531960191513,0.10952173536144623,1.6572778344900723
1060_4-6,Glu(5min),8,0.06951130070266345,0.11202601886346197,1.6116231135230288
1060_4-6,Glu(5min),9,0.07257212142663595,0.10633573023943733,1.465242136361322
1060_4-6,Glu(5min),10,0.0766792747762767,0.09187937915173283,1.1982296314069834
1060_4-6,Glu(5min),11,0.0797686236546848,0.06504394803504712,0.8154076760383855
1060_4-6,Glu(5min),12,0.08458667859310354,0.034185610215764356,0.4041488658067673
1060_4-6,Glu(5min),13,0.09035046687575969,0.010065293306178624,0.1114027813494239
1060_4-6,Glu(5min),14,0.07901918403272189,0.0011151553030343568,0.014112462899801273
1092_11,Glu(5min),0,0.029627731551863365,0.008395654984891488,0.28337150855423704
1092_11,Glu(5min),1,0.040219259090641425,0.022302821325238777,0.554530884693209
1092_11,Glu(5min),2,0.04312935382506656,0.03692529196795803,0.8561522186891017
1092_11,Glu(5min),3,0.04639002938396832,0.05433332263433736,1.171228459129067
1092_11,Glu(5min),4,0.050084670442612854,0.07739500845984897,1.5452833726544806
1092_11,Glu(5min),5,0.054296357352633946,0.09631618284278437,1.773897689254692
1092_11,Glu(5min),6,0.058839300536476916,0.10428082113265685,1.7722987897860694
1092_11,Glu(5min),7,0.06381270949829054,0.10710764871222299,1.678468906183842
1092_11,Glu(5min),8,0.06970593663890677,0.10953555658469707,1.5713949466329842
1092_11,Glu(5min),9,0.0752222589608474,0.12184475145468135,1.6197964955838482
1092_11,Glu(5min),10,0.08106785945299957,0.1182063286089624,1.4581158230469187
1092_11,Glu(5min),11,0.0872769745240036,0.07867888797692685,0.9014850526846341
1092_11,Glu(5min),12,0.09611757604400885,0.04434886674706198,0.46140225931994167
1092_11,Glu(5min),13,0.10576204843888824,0.017165010614932436,0.1622983940676109
1092_11,Glu(5min),14,0.09844793425879164,0.00301482422313826,0.030623539699808675
1044_7,Glu(5min),0,0.04113076153627278,0.025243562596684477,0.6137392465836659
1044_7,Glu(5min),1,0.049856913633999786,0.04359441342007965,0.8743905356859186
1044_7,Glu(5min),2,0.05154528665674065,0.06707434144842946,1.3012701218464957
1044_7,Glu(5min),3,0.053265591678571325,0.0850713682293438,1.5971167417552201
1044_7,Glu(5min),4,0.05568110912153059,0.09729612603815814,1.747381249640661
1044_7,Glu(5min),5,0.05836507326549949,0.10294496801869507,1.763811167518014
1044_7,Glu(5min),6,0.06154318719065876,0.11333752070830637,1.841593292157432
1044_7,Glu(5min),7,0.0647199601394783,0.10940842814354833,1.6904897331172903
1044_7,Glu(5min),8,0.06858364821832436,0.1027625703533852,1.498353806234659
1044_7,Glu(5min),9,0.07222967907502804,0.09110557670576103,1.2613316004232247
1044_7,Glu(5min),10,0.07734826957479736,0.07938961238439005,1.026391576964998
1044_7,Glu(5min),11,0.0819426221367536,0.04916919920567874,0.6000442495435468
1044_7,Glu(5min),12,0.08715767912196222,0.020465566612175936,0.2348108258313979
1044_7,Glu(5min),13,0.09222941926086223,0.007976126477009666,0.08648136940394197
1044_7,Glu(5min),14,0.08440079938952053,0.005145534137163044,0.06096546684843284
1044_8-9,Glu(5min),0,0.03819406416612296,0.030321998936184015,0.7938929673548267
1044_8-9,Glu(5min),1,0.04768678916481642,0.05224536526511073,1.0955941085598955
1044_8-9,Glu(5min),2,0.04968178486291859,0.06268811380236375,1.2617927068307242
1044_8-9,Glu(5min),3,0.05211462327247021,0.06970102878789844,1.337456253372138
1044_8-9,Glu(5min),4,0.05501821595392255,0.08623963752416289,1.5674742633673928
1044_8-9,Glu(5min),5,0.058162261289081585,0.10219525564017073,1.7570715679748712
1044_8-9,Glu(5min),6,0.061554531164511726,0.11107228110688756,1.8044533685104973
1044_8-9,Glu(5min),7,0.06512571304085292,0.12042526692699887,1.8491201294250232
1044_8-9,Glu(5min),8,0.06899880891873153,0.11774383440796046,1.706461839749176
1044_8-9,Glu(5min),9,0.0730534338613643,0.11149472632685098,1.5262078787211821
1044_8-9,Glu(5min),10,0.0779260895173825,0.08518636239799691,1.0931687054435717
1044_8-9,Glu(5min),11,0.08279327313081965,0.037698978996120965,0.45533867149513124
1044_8-9,Glu(5min),12,0.08881244066501655,0.010940601445232937,0.12318771292975476
1044_8-9,Glu(5min),13,0.09470670287942846,0.0018600563044070524,0.019640175909989167
1044_8-9,Glu(5min),14,0.08617126811256007,0.00016541041242329498,0.0019195541164281097
